"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","DEPRECATED healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","no-sale-last-6-months","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-181-210-days","estimated-ais-181-210-days","quantity-to-be-charged-ais-211-240-days","estimated-ais-211-240-days","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","fba-minimum-inventory-level","fba-inventory-level-health-status","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory-Level fee?","Low-Inventory-Level fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","supplier","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-07-28","BAMBOO-TWIN-BURGUNDY-6PCS","X00438TMZ5","B0CQ32LWVD","DECOLURE 100% Viscose Derived from Bamboo Sheets Twin Size - Luxury 4 Pc Naturally Cooling Sheets, Ultra Soft Bed Set - Deep 17"" Pockets, Durable Double Stitching, Oeko Tex Standard (Burgundy)","New","11","0","0","2","0","9","0","0","0","USD","1","3","5","16","","81.99","0.0","58.49","0.0","CreateShippingPlan","","0.0","0","0","0.0","1.0","0.2121","cubic feet","Standard","2.3331","US","gl_home","9357","78","0","14","8","58.49","58.49","178.72","289.2","954.04","1","0","1","9","0","3.2","0","0","0","0","","0","0","0","0.0","0","0.0","9","2.87","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","113.0","17","Low stock","16","2026-08-02","2026-07-27","Yes","No","113.0","86.6","2026-07-25","11","0","0","0","78","unassigned","N","","",""
"2026-07-28","BAMBOO-FULL-BLACK-6PCS","X004386WWB","B0CQ332KLH","DECOLURE 100% Viscose Derived from Bamboo Sheets Full Size - Luxury 6 Pc Naturally Cooling Sheets, Ultra Soft Bed Set - Deep 17"" Pockets, Durable Double Stitching, Oeko Tex Standard (Black)","New","88","0","0","88","0","0","0","0","0","USD","3","14","14","14","","74.99","0.0","67.49","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","0.45","0.271343","cubic feet","Standard","23.878184","US","gl_home","9357","219","0","25","81","67.49","202.47","959.09","959.09","959.09","88","0","0","0","0","15.91","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","178.9","42","Healthy","","","2026-07-27","Yes","No","175.5","178.9","2026-07-25","88","0","0","0","219","unassigned","N","","",""
"2026-07-28","WELCOME-SIGN-FRONT-PORCH-BLACK","X004HY4PGL","B0DQ83G9MC","DECOLURE Welcome Sign for Front Porch - Tall Solid Wood Porch Door Sign with 10 Magnetic Seasonal & Holiday Pieces, Rustic Farmhouse Outdoor Decor for Year Round Welcoming Entryway (Porch Black)","New","131","0","0","2","0","0","0","36","95","USD","2","11","35","64","Low traffic","32.95","0.0","32.95","29.1","Create Outlet deal","","30.36","2","0","3440.86","0.39","0.345526","cubic feet","Oversize","45.263906","US","gl_home","736020","366","97","47","26","32.95","65.9","349.27","1080.76","2116.31","1","1","0","0","0","365.34","0","0","0","0","","1","1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","131","357.58","290.6","4","Excess","","","2026-07-27","Yes","No","290.6","224.3","2026-07-25","131","0","1","0","366","unassigned","N","","",""
"2026-07-28","SATIN-STRIPE-KING-GRAY--6-PCS","X003UO39ON","B0C7K74SLC","DECOLURE Satin Bed Sheets - 6 Piece Luxury Silky King Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Striped Grey)","New","102","18","0","96","12","16","0","0","0","USD","6","28","51","69","","32.95","0.0","30.56","0.0","NoRestockExcessActionRequired","","0.0","0","0","793.77","0.63","0.242268","cubic feet","Standard","24.711336","US","gl_home","15592","343","72","14","19","30.56","186.75","926.85","1696.87","2307.97","60","18","18","16","0","109.92","0","0","0","0","","1","1","0","0.0","0","0.0","12","4.36","4","5.28","0","0.0","0","0.0","0","0.0","0","0.0","126.4","18","Excess","","","2026-07-27","Yes","No","88.6","126.4","2026-07-25","120","0","1","0","345","unassigned","N","","",""
"2026-07-28","SS-SATIN-STRIPED-RED-TWIN-3PCS","X004D7HDD9","B0DDR9XL5R","SLEEP SANCTUARY Satin Sheets Twin Size – 3 Piece Luxury Silky Bed Set, Softer Than Silk, 15"" Deep Pocket, Cooling & Wrinkle-Free, Moisture-Wicking & Breathable for Hair & Skin (Striped Red)","New","48","0","0","0","1","0","0","0","48","USD","0","0","0","0","Low conversion","34.95","0.0","34.95","0.0","Lower price","","0.0","0","0","1753.0","0.0","0.128822","cubic feet","Standard","6.183456","US","gl_home","8682","366","48","","","34.95","0.0","0.0","0.0","0.0","0","0","0","0","0","52.1","0","0","0","0","","0","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","48","48.85","","2","Excess","","","","","","","","2026-07-25","48","0","0","0","366","unassigned","N","","",""
"2026-07-28","BAMBOO-CALIFKING-CHARCOAL","X003TONHO1","B0BZPZQCBL","DECOLURE 100% Viscose Derived from Bamboo Sheets California King Size - Luxury 4 Pc Naturally Cooling Sheets, Ultra Soft Bed Set - Deep 17"" Pockets, Double Stitching, Oeko Tex Standard (Charcoal)","New","42","1","0","44","0","0","0","0","0","USD","4","16","41","45","","84.99","0.0","84.98","0.0","NoRestockExcessActionRequired","","","0","0","","1.48","0.292738","cubic feet","Standard","12.294996","US","gl_home","9485","144","0","10","12","84.99","326.93","1260.93","3173.96","3591.92","0","44","0","0","0","","0","0","0","0","","1","0","","","","","","","","","","","","","","","","","77.9","21","Healthy","","","2026-07-27","Yes","No","71.2","77.9","2026-07-25","43","1","0","0","148","unassigned","N","","",""
"2026-07-28","SATIN-FITTED-FULL-SAGE-GREEN","X004CBXN6R","B0DBW2LXQY","DECOLURE Satin Fitted Sheet Full Size (1 PC) – Luxuriously Smooth & Softer Than Silk Bed Sheets w/ 15 Inch Deep Pocket Hypoallergenic Wrinkle Free, Secure Snug Fit, Elastic Corner Straps (Sage Green)","New","95","0","0","42","1","56","0","0","0","USD","11","35","67","110","","17.95","0.0","17.94","0.0","NoRestockExcessActionRequired","","0.0","0","0","0.0","0.83","0.126132","cubic feet","Standard","11.98254","US","gl_home","9976","130","0","10","11","17.94","197.34","579.76","1066.92","1648.37","40","1","1","56","0","35.35","0","0","0","0","","3","0","1","0.06","1","0.13","55","10.42","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","100.8","55","Healthy","17","2026-08-04","2026-07-27","Yes","No","78.4","100.8","2026-07-25","95","2","1","0","135","unassigned","N","","",""
"2026-07-28","SATIN-4PCS-FULL-ROSEWOOD","X004C9UVBT","B0DBQVFTZS","DECOLURE Satin Bed Sheets - 4 Piece Luxury Silky Full Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Rosewood)","New","172","2","0","2","1","2","115","62","0","USD","11","55","91","119","","25.95","0.0","22.45","0.0","NoRestockExcessActionRequired","","0.0","0","0","2471.93","0.47","0.21003","cubic feet","Standard","36.12516","US","gl_home","4372","350","128","12","18","22.45","283.95","1588.16","2654.28","3541.33","0","2","0","117","0","235.55","0","0","0","0","","6","0","0","0.0","2","0.42","0","0.0","24","27.47","91","108.96","0","0.0","62","89.9","0","0.0","196.4","39","Excess","","","2026-07-27","Yes","No","113.1","196.4","2026-07-25","174","3","3","0","359","unassigned","N","","",""
"2026-07-28","SL-COOLING-SHEET-KING-MIDNIGHT-BLACK","X004OCYS31","B0F7LY3994","SLEEPHORIA Cooling Sheets - BreezeWeave 4 PC King Size Cooling Bed Sheets for Hot Sleepers & Deep, Cool Rest - Cloud Soft, Silky Smooth, 16 in Deep Pocket, Ultra Durable (Midnight Black - 01)","New","48","54","0","103","0","0","0","0","0","USD","6","10","10","43","Low traffic","69.99","0.0","69.99","0.0","NoExcessInventory","","0.0","0","0","0.0","1.16","0.32455","cubic feet","Standard","15.5784","US","gl_home","1656957","193","0","19","14","69.99","419.94","699.9","699.9","3224.57","103","0","0","0","0","21.54","0","0","0","0","","1","0","","","","","","","","","","","","","","","","","156.1","31","Healthy","","","2026-07-27","Yes","No","156.1","35.2","2026-07-25","102","1","0","0","195","unassigned","N","","",""
"2026-07-28","SATIN-RED-FULL-6-PCS","X003UMHDW9","B0C7FWSYPL","DECOLURE Satin Bed Sheets - 6 Piece Luxury Silky Full Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Red)","New","35","1","0","0","1","1","39","0","0","USD","3","6","11","16","","27.95","0.0","27.95","0.0","NoRestockExcessActionRequired","","0.0","0","0","845.11","0.33","0.222168","cubic feet","Standard","7.77588","US","gl_home","15592","140","28","23","28","27.95","83.85","172.2","321.95","483.7","0","0","0","40","0","48.91","0","0","0","0","","2","0","1","0.11","1","0.22","0","0.0","0","0.0","39","49.41","0","0.0","0","0.0","0","0.0","276.8","21","Excess","","","2026-07-27","Yes","No","265.2","276.8","2026-07-25","36","0","2","0","146","unassigned","N","","",""
