snapshot-date,sku,fnsku,asin,product-name,condition,available,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-366-to-455-days,inv-age-456-plus-days,currency,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,DEPRECATED healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,no-sale-last-6-months,Total Reserved Quantity,unfulfillable-quantity,quantity-to-be-charged-ais-181-210-days,estimated-ais-181-210-days,quantity-to-be-charged-ais-211-240-days,estimated-ais-211-240-days,quantity-to-be-charged-ais-241-270-days,estimated-ais-241-270-days,quantity-to-be-charged-ais-271-300-days,estimated-ais-271-300-days,quantity-to-be-charged-ais-301-330-days,estimated-ais-301-330-days,quantity-to-be-charged-ais-331-365-days,estimated-ais-331-365-days,quantity-to-be-charged-ais-366-455-days,estimated-ais-366-455-days,quantity-to-be-charged-ais-456-plus-days,estimated-ais-456-plus-days,historical-days-of-supply,fba-minimum-inventory-level,fba-inventory-level-health-status,Recommended ship-in quantity,Recommended ship-in date,Last updated date for Historical Days of Supply,Exempted from Low-Inventory-Level fee?,Low-Inventory-Level fee applied in current week?,Short term historical days of supply,Long term historical days of supply,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Transfer,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments),supplier,is-seasonal-in-next-3-months,season-name,season-start-date,season-end-date
2026-04-30,SATIN-STRIPE-KING-BLACK,X0030KKNWX,B09G6HZT1K,"DECOLURE Satin Bed Sheets - 4 Piece Luxury Silky King Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Striped Black)",New,19,0,23,0,0,0,0,0,USD,5,29,49,71,,51.95,0,51.95,0,CreateShippingPlan,,0,0,0,0,2.73,0.228646,cubic feet,Standard,4.344274,US,gl_home,10574,15,0,2,3,51.95,223.75,1038.55,1719.88,2482.78,0,23,0,0,0,1.5,0,0,0,0,,2,0,,,,,,,,,,,,,,,,,38.5,60,Low stock,101,2026-05-07,2026-04-27,Yes,No,38.5,32,2026-04-27,19,0,1,1,17,unassigned,N,,,
2026-04-30,SATIN-TAUPE-FULL,X003RX58W3,B0BZPV4LYC,"DECOLURE Satin Bed Sheets - 4 Piece Luxury Silky Full Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Taupe)",New,97,0,0,15,60,2,1,20,USD,1,4,6,8,,29.95,0,29.95,0,Edit listing,,14.08,23,0,4084.35,0.08,0.197436,cubic feet,Standard,19.151292,US,gl_home,10574,366,92,97,157,29.95,20.25,110.07,168.41,227.61,0,0,0,62,0,52.07,0,0,0,0,,2,0,54,5.33,12,2.37,0,0,1,1.08,1,1.13,0,0,1,1.36,20,31.2,1188.6,6,Excess,,,2026-04-27,Yes,No,764.3,1188.6,2026-04-27,97,0,2,0,366,unassigned,N,,,
2026-04-30,SS-BAMBOO-NAVY-BLUE-FULL-6PCS,X004D8Q735,B0DDTXJYV4,"SLEEP SANCTUARY 100% Viscose Derived from Bamboo Sheets Full 6pcs – BamBliss Luxury Cooling Sheets for Hot Sleepers - Cloud Soft, 17"" Deep Pocket, Ultra Durable Bed Set (Navy Blue)",New,62,0,3,0,65,0,0,0,USD,3,5,8,16,,59.99,0,59.99,0,Create Outlet deal,,32.49,2,0,4535.17,0.21,0.293862,cubic feet,Standard,18.219444,US,gl_home,47560,366,62,49,50,59.99,179.97,299.95,479.92,969.84,0,2,1,65,0,28.39,0,0,0,0,,6,0,12,1.76,53,15.58,0,0,0,0,0,0,0,0,0,0,0,0,539.3,6,Excess,,,2026-04-27,Yes,No,539.3,450.9,2026-04-27,62,0,6,0,366,unassigned,N,,,
2026-04-30,SATIN-GOLD-FULL-6PCS,X003UM8ZSZ,B0C7FTBBQB,"DECOLURE Satin Bed Sheets - 6 Piece Luxury Silky Full Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Gold)",New,44,0,0,2,42,0,0,0,USD,1,5,6,9,,27.95,0,27.95,0,Create Outlet deal,,19.47,2,0,1812.84,0.18,0.198242,cubic feet,Standard,8.722648,US,gl_home,24922,366,44,35,63,27.95,38.95,125.19,155.14,244.99,0,0,0,42,0,13.93,0,0,0,0,,0,0,0,0,42,8.33,0,0,0,0,0,0,0,0,0,0,0,0,490.3,8,Excess,,,2026-04-27,Yes,No,281.6,490.3,2026-04-27,44,0,0,0,366,unassigned,N,,,
2026-04-30,BM-CALKING-WHITE,X003VHUIQV,B0C9LTP7TM,DECOLURE Cooling Bed Sheets Cal-King Set 4pcs - Luxurious & Soft California King Size Cooling Sheets for Hot Sleepers - Comfy & Cool California King Bamboo Viscose Microfiber Sheets (White),New,27,0,1,28,0,0,0,0,USD,2,20,45,55,,39.95,0,39.95,0,Create Outlet deal,,31.46,2,0,1835.79,0.92,0.240008,cubic feet,Standard,6.480216,US,gl_home,99235,346,28,5,6,39.95,79.9,799,1797.75,2202.25,1,0,0,0,0,4.81,0,0,0,0,,1,0,,,,,,,,,,,,,,,,,103.1,8,Excess,,,2026-04-27,Yes,No,62.2,103.1,2026-04-27,28,1,0,0,346,unassigned,N,,,
2026-04-30,SATIN-FULL-BLUE-6PCS,X003UMGFZ5,B0C7FXQZVG,"DECOLURE Satin Bed Sheets - 6 Piece Luxury Silky Full Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Blue)",New,12,0,0,0,13,0,0,0,USD,3,4,11,17,,29.95,0,29.95,0,NoExcessInventory,,0,0,0,0,0.71,0.209436,cubic feet,Standard,2.513232,US,gl_home,24922,352,0,48,36,29.95,89.85,119.79,329.44,541.51,0,0,0,13,0,2.97,36,6,30,0,,1,0,0,0,13,2.73,0,0,0,0,0,0,0,0,0,0,0,0,487,8,Healthy,,,2026-04-27,Yes,No,487,135.3,2026-04-27,48,0,1,0,366,unassigned,N,,,
2026-04-30,SL-COOLING-FITTED-CAL-KING-BEIGE,X004OD2QTX,B0F7M4DPM6,"SLEEPHORIA Cooling Fitted Sheet Calfornia King Size - 1 PC BreezeWeave Cooling Sheets for Hot Sleepers & Cool Rest w/ 16 in Deep Pocket - Corner Straps, Cloud Soft - 69 x 81 in (Beige)",New,37,0,0,0,38,0,0,0,USD,1,5,11,11,,33.99,0,33.99,0,Create Outlet deal,,17.99,2,0,1019.44,0.23,0.144256,cubic feet,Standard,5.337472,US,gl_home,33953,285,35,29,43,33.99,33.99,177.95,385.89,385.89,0,0,0,38,0,31.61,0,0,0,0,,0,0,0,0,0,0,0,0,38,29.89,0,0,0,0,0,0,0,0,401.5,,Excess,,,2026-04-27,Yes,No,196.7,401.5,2026-04-27,37,0,0,0,285,unassigned,N,,,
2026-04-30,SATIN-6PC-QUEEN-DARK GREEN,X004BS2KQZ,B0D9QSYR9G,"DECOLURE Satin Bed Sheets - 6 Piece Luxury Silky Queen Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Dark Green)",New,122,0,5,2,117,0,0,0,USD,6,19,38,46,,31.95,0,31.95,0,Create Outlet deal,,28.66,2,0,423.22,0.29,0.209583,cubic feet,Standard,25.569126,US,gl_home,24922,366,109,33,44,31.95,191.7,607,1214.05,1478.65,1,3,1,117,0,40.45,36,36,0,0,,1,0,2,0.21,107,22.46,10,3.14,0,0,0,0,0,0,0,0,0,0,248,27,Excess,,,2026-04-27,Yes,No,192.4,248,2026-04-27,158,0,1,0,366,unassigned,N,,,
2026-04-30,SATIN-FULL-BLACK-6PCS,X003UM8ZWL,B0C7FMM2QN,"DECOLURE Satin Bed Sheets - 6 Piece Luxury Silky Full Size Bedding Set - Softer Than Silk, Wrinkle-Free with 15” Deep Pocket Fitted Sheet, Perfect for Hair & Skin, Gifts for Women (Black)",New,29,0,32,1,0,0,0,0,USD,4,11,23,35,,29.95,0,29.95,0,NoExcessInventory,,0,0,0,0,1.11,0.223656,cubic feet,Standard,6.486024,US,gl_home,24922,90,0,28,28,29.95,119.8,329.41,688.81,1108.21,30,0,2,0,0,4.02,48,30,6,12,,2,0,,,,,,,,,,,,,,,,,40.7,29,Healthy,,,2026-04-27,Yes,No,30.9,40.7,2026-04-27,79,2,0,0,151,unassigned,N,,,
2026-04-30,SS-SATIN-STRIPED-PINK-QUEEN-4PCS,X004D7EW0V,B0DDR3WWT1,"SLEEP SANCTUARY Satin Sheets Queen Size – 4 Piece Luxury Silky Bed Set, Softer Than Silk, 15"" Deep Pocket, Cooling & Wrinkle-Free, Moisture-Wicking & Breathable for Hair & Skin (Striped Pink)",New,86,0,1,1,0,0,85,0,USD,1,19,64,69,,33.95,0,33.95,0,NoRestockExcessActionRequired,,19.47,14,0,425.58,0.53,0.332129,cubic feet,Standard,28.563094,US,gl_home,14711,261,69,18,16,33.95,33.95,404.89,1336.48,1506.23,0,0,1,0,0,185.62,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,85,194.79,0,0,165.1,25,Excess,,,2026-04-27,Yes,No,158.6,165.1,2026-04-27,86,0,6,0,287,unassigned,N,,,
2026-04-30,BAMBOO-KING-LIGHT PINK-6PCS,X00438V4QF,B0CQ3437ZF,"DECOLURE 100% Viscose Derived from Bamboo Sheets King Size - Luxury 6 Pc Naturally Cooling Sheets, Ultra Soft Bed Set - Deep 17"" Pockets, Durable Double Stitching, Oeko Tex Standard (Light Pink)",New,452,0,10,494,0,0,0,0,USD,18,131,214,307,,89.99,0,89.99,0,NoRestockExcessActionRequired,,0,0,0,0,0.45,0.327706,cubic feet,Standard,148.123112,US,gl_home,14195,247,0,17,23,89.99,1563.82,10250.69,17267.86,24434.93,3,1,6,0,0,100.57,112,112,0,0,,64,1,,,,,,,,,,,,,,,,,204.4,154,Healthy,,,2026-04-27,Yes,No,136.3,204.4,2026-04-27,574,10,51,3,356,unassigned,N,,,
2026-04-30,LINEN-CURTAIN-52x120-NATURAL-2-PCS,X004NSX5NZ,B0F63C3Z95,"DECOLURE Linen Blackout Curtains - SunShield 120 Inches Long Black Out Curtains for Living Room and Bedroom Windows - Luxury Faux Linen, 2 Panels Set, Ultra Durable - 120 Length x 52 in (Natural)",New,43,0,0,1,42,0,0,0,USD,0,0,0,0,Low traffic,34.99,0,34.99,0,Advertise listing,,0,0,0,2509.12,0,0.199952,cubic feet,Standard,8.597936,US,gl_home,6765012,366,43,,,34.99,0,0,0,0,0,0,0,42,0,30.7,0,0,0,0,,0,0,0,0,0,0,24,7.2,18,19.62,0,0,0,0,0,0,0,0,,3,Excess,,,,,,,,2026-04-27,43,0,0,0,366,unassigned,N,,,
2026-04-30,SATIN-FITTED-KING-GOLD,X004CC2VK5,B0DBW6FFG1,"DECOLURE Satin Fitted Sheet King Size (1 PC) – Luxuriously Smooth & Softer Than Silk Bed Sheets w/ 15 Inch Deep Pocket Hypoallergenic Wrinkle Free, Secure Snug Fit, Elastic Corner Straps (Gold)",New,111,0,2,66,47,0,0,0,USD,7,21,54,67,,19.95,0,19.95,0,NoRestockExcessActionRequired,,0,0,0,0.01,0.43,0.160253,cubic feet,Standard,17.788083,US,gl_home,14844,326,0,40,40,19.95,133.65,410.95,1069.3,1340.65,0,2,0,47,0,16.6,100,0,100,0,,1,0,68,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.5,43,Healthy,,,2026-04-27,Yes,No,222.8,230.5,2026-04-27,211,0,1,0,328,unassigned,N,,,
2026-04-30,SL-COOLING-FITTED-CAL-KING-SAGE-GREEN,X004OD9SA3,B0F7M728YB,"SLEEPHORIA Cooling Fitted Sheet Calfornia King Size - 1 PC BreezeWeave Cooling Sheets for Hot Sleepers & Cool Rest w/ 16 in Deep Pocket - Corner Straps, Cloud Soft - 69 x 81 in (Sage Green)",New,43,0,0,0,43,0,0,0,USD,1,4,5,5,,33.99,0,33.99,0,Create Outlet deal,,25.19,2,0,2153.56,0.11,0.144256,cubic feet,Standard,6.203008,US,gl_home,33953,366,43,43,111,33.99,33.99,141.96,175.95,175.95,0,0,0,43,0,38.13,0,0,0,0,,0,0,0,0,0,0,0,0,43,33.86,0,0,0,0,0,0,0,0,846.4,,Excess,,,2026-04-27,Yes,No,338.8,846.4,2026-04-27,43,0,0,0,366,unassigned,N,,,
2026-04-30,BM-TWIN-LIGHT-BLUE,X0045AO82D,B0CWJBZFZ7,DECOLURE Cooling Bed Sheets Twin Set 3pcs - Luxurious & Ultra-Soft Twin Size Cooling Sheets for Hot Sleepers - Comfortable Cool Bamboo Viscose Microfiber Sheets Twin Size w/Deep Pockets (Light Blue),New,54,0,0,55,0,0,0,0,USD,1,5,10,16,,44.95,0,44.95,0,Create Outlet deal,,23.76,2,0,1827.34,0.23,0.159497,cubic feet,Standard,8.612838,US,gl_home,99235,366,49,43,43,44.95,22.31,125.55,274.38,436.24,0,0,0,0,0,6.12,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,446.5,5,Excess,,,2026-04-27,Yes,No,446.5,389.3,2026-04-27,54,0,0,0,366,unassigned,N,,,
2026-04-30,BAMBOO-FULL-OLIVE-6PCS,X00438UOFH,B0CQ33ZGQ4,"DECOLURE 100% Viscose Derived from Bamboo Sheets Full Size - Luxury 6 Pc Naturally Cooling Sheets, Ultra Soft Bed Set - Deep 17"" Pockets, Durable Double Stitching, Oeko Tex Standard (Olive)",New,312,0,6,146,31,51,97,0,USD,1,11,24,42,,74.99,0,74.99,0,Edit listing,,62.26,49,0,2473.08,0.12,0.245187,cubic feet,Standard,76.498344,US,gl_home,14195,366,234,113,96,74.99,59.99,770.89,1769.76,3034.58,0,0,6,34,48,267.73,0,0,0,0,,23,0,12,1.47,18,4.42,0,0,1,1.34,2,2.8,1,1.45,145,245.31,0,0,931.5,35,Excess,,,2026-04-27,Yes,No,931.5,761,2026-04-27,312,0,22,1,366,unassigned,N,,,
